catalog_source_id,official_product_key,official_item_seq,stable_official_key,official_item_name,official_manufacturer,official_source_type,official_source_url,official_category,research_classification,official_dosage_form,official_route,official_atc_code,official_kpic_atc,ingredient_form_group_id,ingredient_count,has_efficacy,has_dosage,has_precautions,has_interactions,has_dur_age,has_dur_pregnancy,has_dur_contraindications,research_search_usable,deterministic_screening_eligible,clinical_ranking_uses_price,mfds_promotion_evidence_complete,runtime_promotion_allowed
20250812_112823,0kyz5yr4dgsh0,0kyz5yr4dgsh0,health.kr:0kyz5yr4dgsh0,건치환,한풍제약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=0kyz5yr4dgsh0,치과구강용약,topical_or_local,환제,경구(내용고형),A01A|STOMATOLOGICAL PREPARATIONS|구강용제,,HKG-50f7f16ba73cf24fde3d,11,true,true,true,false,false,false,false,true,true,false,false,false
20250812_114007,2009071505474,2009071505474,health.kr:2009071505474,부스코판플러스정,오펠라헬스케어코리아,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505474,진경제,analgesic_antiinflammatory,정제,경구(내용고형),A03DB04|BUTYLSCOPOLAMINE AND ANALGESICS|부틸스코폴라민과 진통제,Acetaminophen : 통증 질환 > 비마약성 진통제 > 중추성 진통제 > p-aminophenol 유도체|Scopolamine Butylbromide : 소화기계질환 > 진토제 > 항콜린제|Scopolamine Butylbromide : 소화기계질환 > 진경제 > 항콜린제,HKG-0df9897eeb32fb4cad75,2,true,true,true,true,false,false,false,true,true,false,false,false
20250812_112613,2009071505482,2009071505482,health.kr:2009071505482,젠타졸정,씨엠지제약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505482,구충제,anthelmintic,정제,경구(내용고형),P02CA03|ALBENDAZOLE|알벤다졸,Albendazole : 감염성질환 > 구충제 > 구충,HKG-8642db9ff8b8b15c7592,1,true,true,true,true,true,true,false,true,true,false,false,false
20250812_104234,2009071505526,2009071505526,health.kr:2009071505526,알룬정,휴온스,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505526,따로 분류되지 않는 대사성 의약품,other_otc,정제,경구(내용고형),A08AX|OTHER ANTIOBESITY DRUGS|기타 비만증 치료제,Alginic Acid : 호르몬 & 대사관련 질환 > 비만치료제 > 다이어트 보조제 > 식이섬유제제,HKG-8c78c8a994f598d2ef5a,2,true,true,true,false,false,false,false,true,true,false,false,false
20250812_111223,2009071505676,2009071505676,health.kr:2009071505676,징큐라민정,경보제약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505676,기타의 순환계용약,topical_or_local,정제,경구(내용고형),N06DX02|GINKGO FOLIUM|은행엽,Ginkgo Leaf Dried Ext. : 순환기계질환 > 혈액순환장애 치료제 > 말초혈액순환 개선|Ginkgo Leaf Dried Ext. : 눈ㆍ귀ㆍ치과ㆍ구강용 약물 > 이명 치료제 > 기타,HKG-642de380d0be4e0bd5dc,1,true,true,true,true,false,true,false,true,true,false,false,false
20250812_104104,2009071505688,2009071505688,health.kr:2009071505688,위드원엘과립,시믹씨엠오코리아,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505688,"하제, 완장제",gastrointestinal,과립,경구(내용산제),A06A|DRUGS FOR CONSTIPATION|변비치료제,Nicotinamide : 비타민 및 영양제류 > 수용성 비타민 > 비타민B 제제 > 비타민B3|Psyllium Husk : 소화기계질환 > 하제 > 팽창성 하제|Sennoside Calcium : 소화기계질환 > 하제 > 대장 자극성 하제|Sporullating Lactobacillus : 소화기계질환 > 지사제 > 정장제 (생균제제),HKG-213d09f4a2370b8f7751,4,true,true,true,false,false,true,false,true,true,false,false,false
20260129_112619,2009071505879,2009071505879,health.kr:2009071505879,제로민연질캡슐,한솔신약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505879,최면진정제,other_otc,연질캡슐,경구(내용고형),N05CM|OTHER HYPNOTICS AND SEDATIVES|기타 수면제 및 진정제,Diphenhydramine Hydrochloride : 정신/행동장애 > 최면진정제 (수면제) > 기타,HKG-0c87b931023a5bd45838,1,true,true,true,true,false,false,false,true,true,false,false,false
20250812_104440,2009071505939,2009071505939,health.kr:2009071505939,쿨드림연질캡슐,녹십자,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071505939,최면진정제,other_otc,연질캡슐,경구(내용고형),N05CM|OTHER HYPNOTICS AND SEDATIVES|기타 수면제 및 진정제,Diphenhydramine Hydrochloride : 정신/행동장애 > 최면진정제 (수면제) > 기타,HKG-0c87b931023a5bd45838,1,true,true,true,true,false,false,false,true,true,false,false,false
20250812_104934,2009071506011,2009071506011,health.kr:2009071506011,마데카솔케어연고,동국제약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071506011,기타의 외피용약,topical_or_local,연고,피부,D06AX|OTHER ANTIBIOTICS FOR TOPICAL USE|국소용 기타 항생제,Neomycin Sulfate : 피부/피하조직질환 > 피부과용 항감염제 > 항생제|Titrated Ext. of Centella Asiatica : 피부/피하조직질환 > 상처ㆍ궤양 치료제 > 기타,HKG-9c1f5c0f63a45ff86b30,2,true,true,true,false,false,true,false,true,true,false,false,false
20250812_104935,2009071506011,2009071506011,health.kr:2009071506011,마데카솔케어연고,동국제약,약학정보원 의약품 상세정보,https://health.kr/searchDrug/result_drug.asp?drug_cd=2009071506011,기타의 외피용약,topical_or_local,연고,피부,D06AX|OTHER ANTIBIOTICS FOR TOPICAL USE|국소용 기타 항생제,Neomycin Sulfate : 피부/피하조직질환 > 피부과용 항감염제 > 항생제|Titrated Ext. of Centella Asiatica : 피부/피하조직질환 > 상처ㆍ궤양 치료제 > 기타,HKG-9c1f5c0f63a45ff86b30,2,true,true,true,false,false,true,false,true,true,false,false,false
